epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
156,156902,0.971,0.59923,1.04624,1,1,0.995,0.995,1.05881,0.60975,1.12947,0.0023275,0.0023275,0.0023275
157,157881,0.96954,0.59497,1.04482,1,1,0.995,0.995,1.05683,0.60888,1.12851,0.002278,0.002278,0.002278
158,158850,0.96352,0.59101,1.0454,1,1,0.995,0.995,1.05471,0.60821,1.12754,0.0022285,0.0022285,0.0022285
159,159823,0.96169,0.59325,1.04481,1,1,0.995,0.995,1.05301,0.60759,1.12717,0.002179,0.002179,0.002179
160,160816,0.9559,0.59005,1.04063,1,1,0.995,0.995,1.05132,0.60695,1.12652,0.0021295,0.0021295,0.0021295
161,161788,0.95202,0.58734,1.04048,1,1,0.995,0.995,1.04961,0.6068,1.12577,0.00208,0.00208,0.00208
162,162756,0.94791,0.58517,1.03692,1,1,0.995,0.995,1.04767,0.60627,1.12498,0.0020305,0.0020305,0.0020305
163,163724,0.94438,0.58452,1.03548,1,1,0.995,0.995,1.04561,0.60558,1.12415,0.001981,0.001981,0.001981
164,164694,0.94261,0.58098,1.03488,1,1,0.995,0.995,1.04377,0.60525,1.12325,0.0019315,0.0019315,0.0019315
165,165666,0.93788,0.5758,1.0311,1,1,0.995,0.995,1.04197,0.60452,1.12246,0.001882,0.001882,0.001882
166,166658,0.93569,0.5734,1.02983,1,1,0.995,0.995,1.03999,0.6039,1.12136,0.0018325,0.0018325,0.0018325
167,167630,0.92959,0.5703,1.02595,1,1,0.995,0.995,1.03785,0.60359,1.12023,0.001783,0.001783,0.001783
168,168600,0.92969,0.57343,1.02926,1,1,0.995,0.995,1.03596,0.60328,1.11926,0.0017335,0.0017335,0.0017335
169,169572,0.92147,0.56826,1.02731,1,1,0.995,0.995,1.03382,0.60242,1.11839,0.001684,0.001684,0.001684
170,170539,0.92031,0.56819,1.02684,1,1,0.995,0.995,1.03187,0.60191,1.1175,0.0016345,0.0016345,0.0016345
171,171514,0.9135,0.56313,1.02249,1,1,0.995,0.995,1.02983,0.60143,1.11657,0.001585,0.001585,0.001585
172,172506,0.90993,0.55936,1.02048,1,1,0.995,0.995,1.02747,0.60059,1.11554,0.0015355,0.0015355,0.0015355
173,173480,0.90919,0.55959,1.01934,1,1,0.995,0.995,1.02543,0.60024,1.11454,0.001486,0.001486,0.001486
174,174452,0.90074,0.55539,1.01287,1,1,0.995,0.995,1.02364,0.60011,1.11351,0.0014365,0.0014365,0.0014365
175,175421,0.89214,0.54886,1.01062,1,1,0.995,0.995,1.02158,0.5996,1.11242,0.001387,0.001387,0.001387
176,176385,0.8896,0.54568,1.01189,1,1,0.995,0.995,1.01948,0.59943,1.11158,0.0013375,0.0013375,0.0013375
177,177354,0.88895,0.54641,1.01114,1,1,0.995,0.995,1.01755,0.59897,1.11091,0.001288,0.001288,0.001288
178,178336,0.88183,0.54097,1.00826,1,1,0.995,0.995,1.0157,0.59871,1.11006,0.0012385,0.0012385,0.0012385
179,179319,0.87791,0.54151,1.00437,1,1,0.995,0.995,1.01383,0.5981,1.10905,0.001189,0.001189,0.001189
180,180289,0.87508,0.53652,1.00399,1,1,0.995,0.995,1.01207,0.59777,1.10814,0.0011395,0.0011395,0.0011395
181,181253,0.87074,0.53634,0.99995,1,1,0.995,0.995,1.01009,0.59741,1.10718,0.00109,0.00109,0.00109
182,182228,0.86515,0.52989,1.00076,1,1,0.995,0.995,1.00825,0.59692,1.10637,0.0010405,0.0010405,0.0010405
183,183194,0.86395,0.53459,1.00155,1,1,0.995,0.995,1.0065,0.59707,1.1057,0.000991,0.000991,0.000991
184,184172,0.85587,0.52751,0.9967,1,1,0.995,0.995,1.00473,0.59658,1.105,0.0009415,0.0009415,0.0009415
185,185152,0.85289,0.52299,0.99367,1,1,0.995,0.995,1.0032,0.59604,1.10431,0.000892,0.000892,0.000892
186,186120,0.84752,0.52198,0.99218,1,1,0.995,0.995,1.00115,0.59574,1.10326,0.0008425,0.0008425,0.0008425
187,187088,0.84121,0.51694,0.9903,1,1,0.995,0.995,0.99939,0.59548,1.10239,0.000793,0.000793,0.000793
188,188055,0.83995,0.51406,0.98774,1,1,0.995,0.995,0.99754,0.59506,1.10143,0.0007435,0.0007435,0.0007435
189,189017,0.83407,0.5124,0.98529,1,1,0.995,0.995,0.99567,0.59524,1.10059,0.000694,0.000694,0.000694
190,189989,0.82947,0.51121,0.98518,1,1,0.995,0.995,0.99386,0.59487,1.09978,0.0006445,0.0006445,0.0006445
191,190923,0.7887,0.45618,0.97163,1,1,0.995,0.995,0.99222,0.59468,1.09932,0.000595,0.000595,0.000595
192,191840,0.77127,0.44491,0.96319,1,1,0.995,0.995,0.99024,0.59434,1.09858,0.0005455,0.0005455,0.0005455
193,192753,0.7602,0.44027,0.96055,1,1,0.995,0.995,0.98777,0.59371,1.09785,0.000496,0.000496,0.000496
194,193666,0.75193,0.43655,0.95569,1,1,0.995,0.995,0.98527,0.59325,1.09711,0.0004465,0.0004465,0.0004465
195,194578,0.7446,0.43336,0.95274,1,1,0.995,0.995,0.98288,0.59298,1.09632,0.000397,0.000397,0.000397
196,195485,0.73979,0.42908,0.95069,1,1,0.995,0.995,0.98075,0.59279,1.09585,0.0003475,0.0003475,0.0003475
197,196418,0.73382,0.42643,0.94884,1,1,0.995,0.995,0.97843,0.59252,1.0952,0.000298,0.000298,0.000298
198,197339,0.72596,0.42201,0.94677,1,1,0.995,0.995,0.97635,0.59224,1.09449,0.0002485,0.0002485,0.0002485
199,198254,0.71981,0.41842,0.94454,1,1,0.995,0.995,0.97423,0.59206,1.09369,0.000199,0.000199,0.000199
200,199167,0.71579,0.41758,0.94209,1,1,0.995,0.995,0.97243,0.59169,1.09332,0.0001495,0.0001495,0.0001495
